JUGADOR;EQUIPO;PJ;PI;MIN;GOL;ASIS.;TIROS;TIRO_ARCO;ATAJ;VAY_INV;TARJ_AM;TARJ_ROJ;FAL_COM;FAL_REC;OFFSIDE
Jean-Clair Todibo;Barcelona;2;1;77;0;0;0;0;0;0;0;0;1;0;0
Jesús Navas González;Sevilla;19;19;1709;0;3;4;1;0;0;2;0;8;14;0
Joan Jordán;Sevilla;19;14;1234;2;1;11;4;0;0;4;0;40;17;0
Joan Sastre;Mallorca;14;14;1211;0;2;10;1;0;0;4;0;17;18;0
João Félix Sequeira;Atlético de Madrid;15;14;1089;2;1;30;10;0;0;3;0;19;27;4
Joaquín Fernández;Real Valladolid;10;9;832;1;0;3;2;0;0;6;0;19;4;2
Joaquín José Marín Ruiz;Granada CF;10;8;717;0;0;5;0;0;0;2;0;8;6;0
Joaquín Navarro Jiménez;Alavés;10;10;862;0;0;1;0;0;0;4;0;8;7;0
Joaquín Sánchez Rodríguez;Real Betis;18;14;1165;6;2;15;11;0;0;3;0;7;16;4
Joel Robles;Real Betis;18;18;1538;0;0;0;0;56;2;2;1;1;1;0
John Guidetti;Alavés;5;1;94;0;0;1;0;0;0;0;0;0;1;0
Jon Moncayola;Osasuna;14;7;734;1;0;3;2;0;0;4;0;17;2;0
Jonathan Calleri;Español;11;9;862;1;1;22;5;0;0;1;0;19;18;7
Jonathan Silva;Leganés;17;17;1530;0;0;8;2;0;0;7;0;26;19;0
Jordi Alba Ramos;Barcelona;10;10;872;1;1;3;1;0;0;2;0;7;8;4
Jorge Andújar Moreno;Levante;9;5;459;0;0;2;0;0;0;2;0;9;6;0
Jorge De Frutos;Real Valladolid;3;0;56;0;0;1;0;0;0;0;0;2;0;0
Jorge Miramón;Levante;17;15;1345;0;3;7;3;0;0;2;0;8;15;0
Jorge Molina;Getafe;17;13;963;3;1;15;7;0;0;3;1;16;19;9
Jorge Sáenz;Celta de Vigo;3;2;131;0;0;0;0;0;0;1;1;2;1;0
José Ángel Valdés Díaz;Eibar;13;13;1116;1;1;9;3;0;0;1;0;9;6;0
José Antonio Martínez;Granada CF;11;7;672;0;0;0;0;0;0;0;0;3;5;0
José Antonio Rodríguez Díaz;Granada CF;18;17;1462;4;0;21;9;0;0;3;0;22;27;2
José Arnáiz;Leganés;11;2;295;0;0;6;4;0;0;1;0;6;6;1
José Campaña;Levante;18;18;1587;2;5;13;5;0;0;0;1;16;29;1
Jose Ignacio Fernandez Iglesias;Real Madrid;4;3;303;0;0;4;0;0;0;2;0;7;7;0
José Ignacio Martínez García;Real Valladolid;13;13;1087;0;1;2;0;0;0;2;0;18;6;2
José Luis García del Pozo;Leganés;12;9;806;0;0;8;5;0;0;6;0;22;20;1
José Luis Gayá Peña;Valencia CF;13;12;1048;0;0;2;0;0;0;2;0;10;14;0
Jose Luis Mato Sanmartín;Alavés;18;15;1378;7;0;38;15;0;0;4;0;29;26;4
José Luis Morales;Levante;19;17;1529;1;1;18;9;0;0;1;0;8;7;8
José María Giménez de Vargas;Atlético de Madrid;11;11;990;0;0;6;2;0;0;0;0;7;9;1
José Sanchez;Granada CF;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joseba Zaldua;Real Sociedad;17;16;1433;0;1;4;2;0;0;6;0;14;40;1
Josep Señé;Mallorca;4;1;134;0;0;0;0;0;0;0;0;1;3;0
Joseph Aidoo;Celta de Vigo;18;18;1594;0;1;7;0;0;0;4;0;12;15;0
Juan Hernández;Mallorca;4;1;199;0;1;9;5;0;0;1;0;3;7;1
Juan Hernández;Celta de Vigo;2;0;21;0;0;0;0;0;0;0;0;0;0;0
Juan Miguel Jiménez López;Real Betis;2;1;75;0;0;3;1;0;0;0;0;0;0;0
Juan Pérez;Osasuna;2;2;180;0;0;0;0;7;0;0;0;0;0;0
Juan Soriano;Leganés;7;7;630;0;0;1;1;17;0;2;0;1;1;0
Juan Villar;Osasuna;9;2;226;1;0;5;3;0;0;1;0;7;2;5
Jules Koundé;Sevilla;13;10;937;0;0;6;4;0;0;2;0;7;3;0
Júnior Firpo;Barcelona;8;7;594;1;0;1;1;0;0;2;0;20;8;1
Junior Wakalible Lago;Mallorca;17;15;1314;4;0;20;9;0;0;2;0;24;24;5
Kang-In Lee;Valencia CF;8;2;221;1;0;4;2;0;0;1;1;6;4;0
Karl Brillant Toko Ekambi;Villarreal;18;11;995;6;2;32;19;0;0;0;0;7;7;7
Kenan Kodro;Athletic Club;5;3;279;1;0;1;1;0;0;0;0;4;6;3
Kenneth Omeruo;Leganés;12;12;1054;0;0;2;0;0;0;4;0;11;4;0
Kevin Gameiro;Valencia CF;12;7;657;4;1;11;5;0;0;0;0;7;4;3
Kévin Manuel Rodrigues;Leganés;11;7;710;1;2;4;2;0;0;0;1;15;4;0
Kevin Soni;Español;1;0;3;0;0;0;0;0;0;0;0;2;0;0
Kevin Vázquez;Celta de Vigo;5;5;424;0;0;0;0;0;0;3;0;6;10;0
Kieran Trippier;Atlético de Madrid;16;15;1315;0;3;0;0;0;0;1;0;12;8;2
Koke Resurrección;Atlético de Madrid;17;16;1435;1;1;10;4;0;0;2;0;7;17;1
Kroos;Real Madrid;17;16;1324;2;3;22;12;0;0;1;0;11;31;0
Laureano Antonio Villa Suárez;Real Valladolid;12;10;757;0;1;6;2;0;0;2;0;11;19;2
Leandro Cabrera;Getafe;17;17;1440;1;0;7;2;0;0;3;0;16;7;1
Leandro Chichizola;Getafe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lei Wu;Español;16;10;854;2;0;16;6;0;0;1;0;11;10;6
Lillo;Osasuna;4;2;194;0;0;0;0;0;0;2;0;3;2;1
Lionel Andrés Messi Cuccittini;Barcelona;14;13;1170;13;6;38;29;0;0;1;0;6;16;6
Lisandro Magallán;Alavés;7;5;453;1;0;4;1;0;0;3;0;7;2;0
Lluís López;Español;3;3;270;0;0;1;0;0;0;1;0;2;1;0
Lorenzo Morón;Real Betis;18;13;1173;8;2;26;11;0;0;2;1;18;27;15
Luca Sangalli;Real Sociedad;6;2;186;0;0;5;5;0;0;0;0;0;4;0
Lucas Ariel Ocampos;Sevilla;15;15;1299;5;1;30;15;0;0;5;1;26;25;5
